,commentText,commentClassification,length
2885,why this ? why not the annotation ?,questioning,35
2886,spacing before and after and spaces after comma .,refactoring suggestion,49
2887,attaching extra files is a custom feature it should be handled with a setting .,logical suggestion,79
2888,why are we checking for empty url ?,questioning,35
2889,why are required ?,questioning,18
2891,should it be or or and ?,questioning,24
2892,similarly these should be coded to interface instead of the implementation .,buggycode suggestion,76
2893,set target to development,logistics suggestion,25
2894,sir please remove unnecessary spaces,refactoring suggestion,36
2895,spaces after is a must .,refactoring suggestion,24
2897,why using this,questioning,14
2899,check indentation and convert all to tabs .,refactoring suggestion,43
2900,please remove,refactoring suggestion,13
2901,please set the value of select entity to select entity ,code suggestion,55
2902,correct indentation .,refactoring suggestion,21
2903,and the tostring method,code suggestion,23
2904,space after ! ,refactoring suggestion,14
2906,this should be renamed as these are not constants,spelling suggestion,49
2910,please add same condition for name as well . .areas ? .area .is active .area .areaname,code suggestion,86
2911,remove commented code .,refactoring suggestion,23
2912,please get it verified and update pr for merge .,completeness suggestion,48
2913,i feel that onchange onchangefield should be appropriate,code suggestion,56
2915,qtyincases is supported on user role designation .,logical suggestion,50
2917,keep this into the function not using anywhere,code suggestion,46
2918,why is onerror and oncompleted removed ? this can be used by other elements please keep it,questioning,90
2919,please get it verified and update pr will merge after verification .,completeness suggestion,68
2920,key download option v .value ,code suggestion,29
2922,just change in name hence merging .,logistics suggestion,35
2923,please update .,completeness suggestion,15
2924,multiple pr for master and sanity for same code should not done .,logistics suggestion,65
2925,yes we have to update for some conditions .,logical suggestion,43
2926,so the json and sql tab will be on top of the widget display when expanded ?,buggycode suggestion,76
2927,there are branches with same name ,logistics suggestion,34
2930, no columns for selection ,code suggestion,26
2931,please create foreign key also,completeness suggestion,30
2932,few comments which can be applied to most files . please check once pre approving this .,completeness suggestion,88
2933, ffc ed dbf da ae why changes this ? production will not work !,buggycode suggestion,63
2934,do we consider postive numbers only ? or do we allow negative numbers as well ?,questioning,79
2936,why specific to retailer user id and source . is this discussed and what is the use case .,questioning,90
2937,here not handeled,refactoring suggestion,17
2938,remove commented line,refactoring suggestion,21
2940,is the space required ?,refactoring suggestion,23
2941,please get it verified and update pr will merge after verification .,completeness suggestion,68
2942,please delete commented line,refactoring suggestion,28
2943,declining pr as there is no update from long .,logistics suggestion,46
2946,please get it verified and then we will merge .,completeness suggestion,47
2948,please add alternate string resources in other languages .,code suggestion,58
2949,please remove unnecessary space,refactoring suggestion,31
2950,what is mean of adding true explicitly ?,questioning,40
2951,editing my comment as i mentioned it was classnames instead of classname ,code suggestion,73
2952,space before and after and space after space after and before ,refactoring suggestion,62
2954,please add forienkey as well,buggycode suggestion,28
2955,fix indentation .,refactoring suggestion,17
2957,please update and inform the product team about this hard coded changes .,completeness suggestion,73
2960,correct indentation .,refactoring suggestion,21
2962,please convert it as kotlin class .,code suggestion,35
2965,remove those console .logs,refactoring suggestion,26
2966,here use full condition workflow primary secondary issale vansale,code suggestion,65
2968,any specific reason to use final here ?,code suggestion,39
2970,please get it verified and then merge .,completeness suggestion,39
2971,ifa company is using the same format why didn t we clone and use new name ?,logistics suggestion,75
2972,please remove if not required,refactoring suggestion,29
2973, getsettingfromname u used multiple time it is alreay used in this function,buggycode suggestion,75
2975,please resolve conflicts .,logistics suggestion,26
2977,why is this twice ?,questioning,19
2979,format the code .,refactoring suggestion,17
2981,just return collections .singleton,code suggestion,34
2982, !empty checks for isset and not empty internally . use !empty here .,buggycode suggestion,69
2983,indentation is wrong,refactoring suggestion,20
2984,not using variable used for loop means dont loop that variable make changes as discussed .,buggycode suggestion,90
2986,remove after paymentstructure ,refactoring suggestion,30
2987,please check this condition startofmonth ,code suggestion,41
2988,can we use current time stamp ? or why null in date ? do we have a use case ?,questioning,77
2989,merging as just reason text has been changed ,logistics suggestion,45
2990,remove invalid spaces .,refactoring suggestion,23
2992,please don t hard code strings in the code . get it from strings .xml .,buggycode suggestion,71
2993,database supports null hence merging it .,logistics suggestion,41
2994,can use getstring as we are in activity .,code suggestion,41
2996,there are pr please resolve it .,logistics suggestion,32
2998,please remove commented code,refactoring suggestion,28
2999,merging this as sorting on created is not used any where .,logistics suggestion,58
3001,please start adding projections . this will save some cache data .,logical suggestion,66
3002,why the space ?,refactoring suggestion,15
3003,you can use phone number utils class for constructing the phone number .,code suggestion,72
3004,please add server version check and also resolve conflicts,logistics suggestion,58
3005,remove commented lines .,refactoring suggestion,24
3007, add product ,code suggestion,13
3008,is this is extra add ? enititytypeid which is not sku id .,questioning,58
3009,add a reason string if default is true .,code suggestion,40
3010,reformat the code .,refactoring suggestion,19
3011,please get it verified and update pr .,completeness suggestion,38
3012,resolve conflict . might no difference also ,logistics suggestion,44
3014,if ! allowdifferententity paste the else block code . ,code suggestion,54
3015, abb ac dcb a ac f please address comments and get it verified .,completeness suggestion,64
3016,make the single line of true and false response in comman function .,refactoring suggestion,68
3017,remove commented line .,refactoring suggestion,23
3018,please use !empty directly it automatically checks for isset as well .,code suggestion,70
3019,please fix alignment,refactoring suggestion,20
3020,why only indian numbers ? we can send a dial code and that should work fine .,logical suggestion,77
3022,this is not a correct way of finding adapter,buggycode suggestion,44
3023,format the code .,refactoring suggestion,17
3024,no formdefinition sql file found .,buggycode suggestion,34
3025,this will not give url na if you do create url then double url . please check .,buggycode suggestion,79
3027,why are you doing this ?,buggycode suggestion,24
3028,use borderredius from theme .,reuse suggestion,29
3030,please don t use inline styling,buggycode suggestion,31
3032, points in this . please add a ticket for this . any test cases ? ,completeness suggestion,66
3033,please check the spelling of this .,spelling suggestion,35
3034,directly initialize here maybe ?,questioning,32
3035,please get it verified and update pr will merge after verification .,completeness suggestion,68
3037, a c bb c ee ca f there are concerns i have raised please have look on those .,completeness suggestion,78
3038,did you tested this . totaly worng code . please check the tables and how the code will work .,buggycode suggestion,94
3039,isn t this redundant checking ?,refactoring suggestion,31
3040, cdaaddc c d b e you have used spaces for indentation here we need to use tab character t,refactoring suggestion,89
3043,can t we do like this key some name id ,code suggestion,39
3044,please remove this if not required,refactoring suggestion,34
3045,instead of passing appparameters . can we pass limittypes offsettypes seperate,code suggestion,78
3046,add a default fall back name alias voucherdate voucher date ,code suggestion,60
3047,please share the schema changes once with himadri,completeness suggestion,49
3048,cannot we fetch company ids form outletcompanymappinglist only ?,code suggestion,64
3049,clean up ?,refactoring suggestion,10
3050,here the user can be mapped to many warehouses .,logical suggestion,48
3051,please add space after ,refactoring suggestion,23
3052,please get it verified and update pr .,completeness suggestion,38
3053,fix indentation .,refactoring suggestion,17
3054,is this code required ?,questioning,23
3055,one suggestion keep these headers as constants x ret key and authorization ,logical suggestion,75
3056,i have done review only code wise logic but dont have idea about retailer query .,completeness suggestion,81
3057,are we using this class anywhere ?,questioning,34
3058,what is the default value of the source ?,questioning,41
3060, in below query only one data u r using right .,questioning,47
3061, . . . new set joinedtables ,code suggestion,28
3063,please get it verified and update pr for merging .,completeness suggestion,50
3065,please correct indentation,refactoring suggestion,26
3066,change it to listofwarehouse .add suggestedorderline ,code suggestion,53
3067, d dbd ea c c f b okay but there is a possibility to make these configurable ?,code suggestion,78
3068,why gap after set and hidden ?,refactoring suggestion,30
3069,it will give multiple entries for single user,buggycode suggestion,45
3070,clean up !,refactoring suggestion,10
3071,please add default values .,buggycode suggestion,27
3072,use find first .,code suggestion,16
3074,do this also inside fragment by passig value in it,code suggestion,50
3075,this is a workarround need to revert back .,buggycode suggestion,43
3076,why can t we name it just population ,questioning,37
3077,formatting required .,refactoring suggestion,21
3078,please share the quires if query taking time please make two seprate query . ,code suggestion,77
3079, mselectedbeat null use stringutils .isempty here,code suggestion,49
3080,maintain proper indentation it is difficult to know which is open and closed .,refactoring suggestion,78
3082,indentation is wrong,refactoring suggestion,20
3083,correct indentation .,refactoring suggestion,21
3085,response redeclared .,buggycode suggestion,21
3086,please use brackets for single line if also . ,refactoring suggestion,46
3087,we need to delete from setting overrides as well .,buggycode suggestion,50
3088, key nav links payments ,code suggestion,24
3089,please get it tested and update pr once verified .,completeness suggestion,50
3090,we have to guard against one thing . if pageinput .getlimit returns then this will fail,buggycode suggestion,87
3091,we did proceed true or false . please do same format .,code suggestion,54
3092,remove from version .,refactoring suggestion,21
3093,use string literals from strings .xml instead of hard coding .,buggycode suggestion,62
3094,always use for if else statements for better readability,refactoring suggestion,56
3096,any purpose we have moved this function inside component ?,questioning,58
3097,could be move to string .xml ?,code suggestion,30
3098,please resolve conflict .,logistics suggestion,25
3100,comment required ?,questioning,18
3103,please create variable .,refactoring suggestion,24
3104,can you please make this as soft delete . and change the values of isdeleted to .,code suggestion,81
3106,remove unnessesory inner because not using any field of supper class,refactoring suggestion,68
3107, ffc ed dbf da ae please take care on variable naming currencysign currency sign ,spelling suggestion,81
3108,correct indentation .,refactoring suggestion,21
3109,are we going to use listindex into whenthenrelation . otherwise please remove it .,refactoring suggestion,82
3110,this should come above,buggycode suggestion,22
3111,this line may not required right ?,code suggestion,34
3112,you can use .map,code suggestion,16
3113,remove from version,refactoring suggestion,19
3114,would suggest to keep it in the constants enum file which can be used in other places of the code,buggycode suggestion,97
3116,use stringutils .isempty,code suggestion,24
3118,fix indentation .,refactoring suggestion,17
3119,these changes are yours ? ,questioning,26
3120,resolve the conflict .,logistics suggestion,22
3121,space after and before space after and before .,refactoring suggestion,47
3122,use isset instead of array key exists .,code suggestion,39
3123,please use theme .spacing . don t hardcode .,buggycode suggestion,44
3124,reformat the code and use tag in log .,buggycode suggestion,38
3125, a e a f b e d d ed e check the below screen sort ! ,buggycode suggestion,52
3126,please get it tested can be merged once tested .,completeness suggestion,48
3127,add this code in some utils class .,code suggestion,35
3128,use fall back .,code suggestion,15
3129,camelcasing,spelling suggestion,11
3132,give correct name,spelling suggestion,17
3133,not acceptable revert this .,logistics suggestion,28
3134, aaf e a d e b c d d db which part is not true ? can you elaborate slightly on this ?,questioning,85
3135,why this change for custom date range filter ?,questioning,46
3136,update db version,logistics suggestion,17
3137,same as above comment i .e . table table .jsx ,code suggestion,46
3138,space after ,refactoring suggestion,12
3142,this can be list instead of arraylist in the declaration .,code suggestion,58
3143,please check the implementations for base level . it s done the other way,buggycode suggestion,73
3144,i think we can add one more condition date condition and get query also .,completeness suggestion,73
3145,menuprops classes paper classes .select ,code suggestion,40
3146, aaf e a d e b c d d db any reason we removed it ? fyi e a b fe a c ad c ,refactoring suggestion,73
3147,isoutletedit method is also use for warehouse edit ? ? ?,questioning,56
3148,single indent .,refactoring suggestion,15
3150, abb ac dcb a ac f please update .,completeness suggestion,34
3151,what is use of this ? ? ?,questioning,25
3154,please get it verified and update pr for merge .,completeness suggestion,48
3155,can we have a test case for this ?,completeness suggestion,34
3156,fix indentation .,refactoring suggestion,17
3158,please add default values .,buggycode suggestion,27
3159,nope ! we will not do like this !,buggycode suggestion,33
3160,please delete commented line,refactoring suggestion,28
3161,true ? ? ? ? it will always true,buggycode suggestion,32
3162,in this tmpgst is removed it s as per requirement . abb ac dcb a ac f please review this .,refactoring suggestion,90
3164,can remove the stringutils .isempty mdomainurl condition as it s already checked above .,refactoring suggestion,88
3165,please remove invalid tabs,refactoring suggestion,26
3166, d aae b ea c e f a do we need this api or we can identify from token itself please check .,logical suggestion,91
3167,you should assert that there is an element in the registry,buggycode suggestion,58
3168, c a c b a e e it should be product .please check,logical suggestion,49
3170,log the error . . dont use printstacktrace,buggycode suggestion,42
3171,we are already using dialog in our code .why do we need these methods again .can t we use them ?,questioning,96
3172,why allparameters instead of allprojections ? ,questioning,46
3173,need to understand this query usecase,questioning,37
3174,resole conflict,logistics suggestion,15
3175,use single tabs .,refactoring suggestion,17
3176,if this variable means modifiedoldlayouts please rename .,spelling suggestion,57
3177,remove console .log .,refactoring suggestion,21
3179,what need to use this object focusview and lastfocusks,questioning,54
3180,create separate function to return data . dont return json and normal data in same funciton .,buggycode suggestion,93
3181,please check do we really need to use companion object like this and call get methods .,logical suggestion,87
3182,why instances definitions ? where are they used ? if not used elsewhere can be club it ?,refactoring suggestion,88
3183,what about wa ?,questioning,15
3187,we allow collection of tds only . please check with qa and ask them to test it for tds collection .,completeness suggestion,99
3188,try using helper funtion gst details here,reuse suggestion,41
3190,remove this extra code use kotlin xml to java object access method,code suggestion,66
3193,can you please make this as soft delete . and change the values of isdeleted to .,code suggestion,81
3194,we can avoid this set extract if we are using the for loop as mentioned above . ,buggycode suggestion,80
3195,please correct sql,buggycode suggestion,18
3196, f ea d fb a f c is this pr required still ?,questioning,44
3197,please clean up ?,refactoring suggestion,17
3198,don t hard code the string . get it from strings .xml ,buggycode suggestion,54
3199, verified,logistics suggestion,9
3200,check with product he requested for value in one another task .,logical suggestion,63
3201,mark this as business error enum,code suggestion,32
3202,ideally this should have been handled at dateutils .getdatevalue class .,buggycode suggestion,72
3203,resolve conflicts and ping me,logistics suggestion,29
3204,we are calling backend twice . why it can t be done in one call ?,buggycode suggestion,65
3205,please resolve conflicts ,logistics suggestion,25
3207,remove the empty line .,refactoring suggestion,23
3209,remove apollo react hooks dependency,code suggestion,36
3210,shouldn t this be ?,code suggestion,19
3211,if not required please remove .,refactoring suggestion,31
3212, why taking this much pain ! keep selectdaterange .jsx in the same folder .,code suggestion,75
3213,please handle it with setting name advantage of that is json based setting can be handled .,code suggestion,91
3214, ffc ed dbf da ae why need another state do this ? what s the issue you are getting here ?,questioning,90
3215,mdm id is never a constant please fix it .,buggycode suggestion,42
3216,check can we we add damageclaimstate id foreign key,code suggestion,51
3217,please use a variable for this . otherwise to the other developers it won t be clear why the number,buggycode suggestion,99
3218,in overview seems fine but do test it for runtime errors if any .,completeness suggestion,65
3219,please copy the file and make a new branch and commit wrong files have been deleted .,logistics suggestion,85
3220,only value am i correct ?,questioning,25
3221, flow ,code suggestion,6
3222,spelling,spelling suggestion,8
3223,please revert this as these changes are for just debug purpose .,refactoring suggestion,64
3224,please define default value ,buggycode suggestion,28
3225,remove from here because this already present in basedata class,refactoring suggestion,63
3226, cdaaddc c d b e the second part is still not confirmed . can you please confirm .,completeness suggestion,82
3227,please add today support in bind parameter .,code suggestion,44
3228,let s not add object like this . please use typography .,buggycode suggestion,56
3229,why is this removed ?,questioning,21
3230,you can also use equalsignorecase,code suggestion,33
3231,change name to distributor id,spelling suggestion,29
3233,add actionkey in logs .,code suggestion,23
3234,add correct spaces isapi false ,refactoring suggestion,31
3235,check impact usage in other pages as well .,completeness suggestion,43
3236,no tickets are accessible !,logistics suggestion,27
3237,can we remove this line of code ?,refactoring suggestion,33
3239,initialise the default value,buggycode suggestion,28
3241,please use tag which can be used in entire file instead of hard coding it like call here .,buggycode suggestion,90
3243,change it to add ,spelling suggestion,17
3245,why company id require here ?,questioning,29
3246,please write all the cases for success and failure,completeness suggestion,50
3247,why is this needed ?,questioning,20
3248,for avoiding nullpointer exceptions crash put constant on left side of equal .,buggycode suggestion,78
3249,also e a b fe a c ad c make delimiter a little complex eg . instead of . . . . make it ,code suggestion,87
3250,i will add it while creating revision,logistics suggestion,37
3251,does this download work for all the data as seen the page uses server side pagination .,completeness suggestion,87
3253,space after and before and space after ,refactoring suggestion,39
3254,please put some log statement if required so that we get an understanding of what went wrong,refactoring suggestion,92
3256,qa verified ,logistics suggestion,12
3257,why days is removed from option ? have we verified that it is not being used on production ?,questioning,92
3258, watch is this operation required every time or is it for performance testing ? ,code suggestion,80
3259,please rename the file properly,spelling suggestion,31
3260, data inline card data inline card duplicate code please reject the branch that is not required .,logistics suggestion,97
3261,with the audit annotations do we still need these set calls here and above ?,questioning,76
3262, mreporteeuserbeatslist .clear remove this unnesesorry code . as already cleared line above,code suggestion,91
3263,please raise the pr in development branch .,logistics suggestion,43
3264,statescess is valid only when gstinno is not there for outlet . refer payments controller .,logical suggestion,91
3266,please use string constants instead of hardcoding strings .,buggycode suggestion,59
3267,duplicate line of code .,refactoring suggestion,24
3271,looks good to me . please address the remaining comments .,completeness suggestion,58
3274,before pushing foreign key please add delete query also to delete invalid entry,code suggestion,79
3275,reformat the code .,refactoring suggestion,19
3276,indentation ,refactoring suggestion,12
3277,why did u remove this form definition ?,buggycode suggestion,39
3279,please get it verified and update pr will merge it once verified .,completeness suggestion,66
3280,if this is checking on whether projection is hidden please use the common function,code suggestion,82
3281,use even for single line if statements .,refactoring suggestion,40
3282,please get it verified will merge after verification .,completeness suggestion,54
3284,inline css are recommended . please use styles .,refactoring suggestion,48
3286,keep it as it was before right side of the add join button ,code suggestion,59
3287,it has to be array skunitmapping trim skudata skunit skucode ,buggycode suggestion,61
3288,please add default values .,buggycode suggestion,27
3289,if cursor .count then we don t need to close cursor ?,buggycode suggestion,53
3290,you can use objects .nonnull also camel case,code suggestion,44
3291,please get it verified and update pr for merge .,completeness suggestion,48
3292,display ?,questioning,9
3293,can we add transactiontype as well ?,code suggestion,36
3294,instead of adding just number assign a constant to it with valid name and ref .,buggycode suggestion,79
3295, l please give proper names,spelling suggestion,27
3298, f e f f a a f please pull the development branch and push this again . your pipeline will succeed,logistics suggestion,98
3299, ffc ed dbf da ae useless codes,buggycode suggestion,31
3300,that s not the way ! it will hit performance ,buggycode suggestion,45
3301,why this is changed to bicycle ? jfi asking,questioning,43
3303,this can be removed,refactoring suggestion,19
3307,for multiple recipients how is this handled ?,questioning,45
3308,not required,logical suggestion,12
3310,this will fail when we change the base table type,buggycode suggestion,49
3312,here one row is active and one row is inactive wont it break the headers ? ,buggycode suggestion,75
3313,rename once again with qpsschemetransactioncolumns this is standard structure of column interface ,buggycode suggestion,98
3314,you can use objects .nonnull config ,code suggestion,36
3315,please add check for primary and secondary van sale,code suggestion,51
3318,qa verified ,logistics suggestion,12
3319,please get it verified and update the pr will merge after it s verified .,completeness suggestion,73
3321,should be removed from here it is implemented in parent class measurablenonaggregatedprojection,buggycode suggestion,95
3322, ffc ed dbf da ae we are not checking the response . we are assuming that then means success .,buggycode suggestion,94
3323, d aae b ea c e f a please resolve conflicts,logistics suggestion,44
3325,can remove the stringutils .isempty mdomainurl condition as it s already checked above .,refactoring suggestion,88
3326,also add validation that the values should match aws or smtp go only . then only use the value . ,code suggestion,97
3328,what does means ?,buggycode suggestion,17
3329,change it to mul ,spelling suggestion,17
3330,add foreign key user id beat id msl id batch id ,buggycode suggestion,48
3332,what is ?,questioning,9
3333,can we keep the first character in caps just for the consistency in the headers .,spelling suggestion,81
3334,there is one upload images and upload image which one we need ? please use one .,code suggestion,80
3335,can the set combine logic be used inside the for loop used below ? it will reduce one extra loop .,buggycode suggestion,98
3336,please let s not hardcode use theme .specing ,buggycode suggestion,45
3337,correct indentation .,refactoring suggestion,21
3338,phone no is not used at all why are you creating a variable ?,refactoring suggestion,61
3339,you can have an option to set it for a particular time .,logical suggestion,56
3341,please use constants with proper name for these options instead of magic numbers like . .,buggycode suggestion,89
3342, cdaaddc c d b e what difference does it make ?,questioning,47
3343,get the string literal from strings .xml ,buggycode suggestion,41
3345, getter can be done at class level instead of field level,code suggestion,57
3347,in the order status can the notpaid be changed to not paid ?,spelling suggestion,60
3348,spelling,spelling suggestion,8
3349, b e e c c bb f please put condition directly instead of selected currentcondition ,code suggestion,83
3350, sectionsenum .report section is sufficient . can be applied to others as well,code suggestion,78
3352,please remove these variable from here .,code suggestion,40
3354,make sure to add this after column is added in revision .,code suggestion,57
3355,still work in progress ?,completeness suggestion,24
3356,remove commented code,refactoring suggestion,21
3357,please make changes if trim newdiff key value ! ,code suggestion,48
3358,please write it in an if else block . this code is hard to understand ,code suggestion,70
3360,this need to might for rqa or ri . please check utkarsh bhai .,logistics suggestion,62
3361,will merge after verification . please update pr once verified .,completeness suggestion,64
3362,remove unnecessary lines,refactoring suggestion,24
3363,why is the default outlets ?,questioning,28
3364,plz remove the enum from the name here and below .,buggycode suggestion,50
3365,is this done or remaining ?,questioning,27
3366,why only in chrome and firefox ?,questioning,32
3368,add foreign key,buggycode suggestion,15
3369,please get it verified and update pr for merge .,completeness suggestion,48
3370, e a b fe a c ad c if suppose we are creating new states in future . so that will be easy i think .,logical suggestion,99
3371,can we remove this code ?,questioning,25
3372,fix indentation,refactoring suggestion,15
3373,space after below line space before and after ,refactoring suggestion,46
3375,here please write the braces where or is comparing . ,refactoring suggestion,53
3376,raise the pr for release branch release ,logistics suggestion,40
3378,remove the commented code .,refactoring suggestion,27
3380, ffc ed dbf da ae why this condition here ? i am not able to see trams and conditions in dialog ?,questioning,97
3381,please externalise the threshold value so that it will be configurable,buggycode suggestion,70
3382,correct indentation .,refactoring suggestion,21
3383,please use the helpmewith dependency . it already does most of these things for you .,reuse suggestion,85
3384,can we use datatable pagination here ?,buggycode suggestion,38
3385,this file is also not formated yet .,refactoring suggestion,36
3386,can cause npe . put constant on lhs .,buggycode suggestion,37
3387,please add warehouse id column as well in the mdmcolumns .,code suggestion,58
3388,please get it verified will merge once verified .,completeness suggestion,49
3389,why this change ? this was working earlier also whether or not we passed attachments in the request,questioning,99
3390,are the all settings are companywise settings ?,questioning,47
3391,please get it verified will merge the same once verified .,completeness suggestion,58
3392,please add null check for authtoken as we have seen lot of crashes due to this .,code suggestion,80
3393,please share this multi join query,completeness suggestion,34
3394, typename do we need it ?,code suggestion,25
3395,ignore for now,logical suggestion,14
3396,please get it verified and update pr will merge after verification .,completeness suggestion,68
3398,is this setting type is company only na .,questioning,41
3400,let s make this folder in screens called home like other screens app screens home index .jsx ,code suggestion,93
3401,please also check if id exists else it s no point of read .,code suggestion,59
3404,i see this in a few places please extract out a function instead,refactoring suggestion,64
3405, const downloadvalue setdownloadvalue usestate download options .value ,code suggestion,71
3406, this user cdnote . do not use loadcustommodel,buggycode suggestion,46
3407,need to write another test case for failure,completeness suggestion,43
3410,use company setting,code suggestion,19
3411,what is use of this ?,questioning,21
3413,is it possible to maintain uniformity across key names,spelling suggestion,54
3414,remove this,refactoring suggestion,11
3415,just isset will do na ? can i know array key exists is being used ?,buggycode suggestion,67
3416,if we don t need this please cleanup,refactoring suggestion,36
3417,is this correct ?,questioning,17
3418,hardcoded colors and css are not allowed . please use theme . note same as below lines . ,buggycode suggestion,89
3421,correct the spelling . use isfirst .,spelling suggestion,36
3424,multiple area ids are mapped then only taking one area id so warehouse id are wrong that case .,buggycode suggestion,95
3426,remove the unncecessary spacings,refactoring suggestion,32
3427, not critical we should initialize all variables at a global level for consistency . ,logical suggestion,85
3429,remove commented line,refactoring suggestion,21
3430, styledcell ,code suggestion,12
3431,why is added ?,questioning,14
3432,do not re declare the response variable .,buggycode suggestion,41
3433,make it and condition,code suggestion,21
3434,check if any usage other place if not remove .,completeness suggestion,46
3435,verified ticket ,logistics suggestion,16
3436,why value is true as string not boolean ?,buggycode suggestion,41
3437,please raise the pr to sanity branch,logistics suggestion,36
3439,please convert it as kotlin class .,code suggestion,35
3440,by default it always pick index file import join actions from . . constants ,code suggestion,76
3441, onchange . . .updated parentkey updatedarray ,code suggestion,46
3442,please correct the spelling .,spelling suggestion,29
3444,code from line to seems to be repetitive line can we cut a function out of that ?,refactoring suggestion,81
3445,is this only extended to reports and dashboards only ?,questioning,54
3446,warehouses doesn t have area id . remove this join .,refactoring suggestion,52
3448,please update .,completeness suggestion,15
3449, e a b fe a c ad c did we handle if there is no data ?,completeness suggestion,54
3450,reformat the code .,refactoring suggestion,19
3451,put notificationid here also,code suggestion,28
3452,camelcase,spelling suggestion,9
3453,camelcase please,spelling suggestion,16
3454,we should store these api s as some kind of constants,buggycode suggestion,53
3455,once verified we can merge it .,completeness suggestion,31
3456,please add constants here,buggycode suggestion,25
3457,resolve conflict and ping me,logistics suggestion,28
3458,please format the file .,refactoring suggestion,24
3459, value ? value ,code suggestion,15
3460,why are we storing outlet createdbyuser id in outletids ?,buggycode suggestion,57
3461,fix indentation .,refactoring suggestion,17
3462,is this to be reviewed ?,questioning,24
3463,are we getting only last notifications ?,questioning,40
3465,as this column is ignored please handle it with isset,refactoring suggestion,53
3466,return always false,buggycode suggestion,19
3467,please don t hard code the product id .,buggycode suggestion,39
3469,use sizing from theme ,reuse suggestion,22
3470, visualisation ! ,logical suggestion,17
3471,why are we excluding these artifacts ?,questioning,38
3472,remove this,refactoring suggestion,11
3473,refactore to msalereturncomment,buggycode suggestion,31
3475,is it need for logging ? ? ?,code suggestion,28
3477,should we not update status and crsdata with this failure .,questioning,59
3478,please move this out of the for loop .,buggycode suggestion,38
3479,formatting required .,refactoring suggestion,21
3480,can we pick it from theme ?,questioning,27
3483,qa verified ,logistics suggestion,12
3484,simply this can do the job column types label type ,code suggestion,51
3485,can we remove this join .,refactoring suggestion,25
3486,remove apollo react hooks dependency .,code suggestion,38
3487, b be b a ce a fd please remove the loadmodel line as it is not required .,refactoring suggestion,74
3488, e a b fe a c ad c correct but how we differentiate between cities and distributor in ui side .,questioning,95
3489, e a b fe a c ad c yes but i think we are passing whole object unnecessarily .,code suggestion,78
3490,use constants for and ,buggycode suggestion,22
3491,this condition is same as above . please recheck . as per log it should check for warehouseid .,buggycode suggestion,95
3492,this is not part of this pr .,logistics suggestion,29
3493,why it s in payments table it s int only,buggycode suggestion,40
3494,you can directly send selectedprojections no need to spread it again it s already an array,code suggestion,90
3495,remove the console .,refactoring suggestion,20
3496,have you pushed the changes .i can t see any changes here .,questioning,59
3497,alignment .,refactoring suggestion,11
3499,query is required .,completeness suggestion,19
3500,please add validation if length of strings is equals to then get the values .,completeness suggestion,77
3501,not getting why it used .,questioning,25
3503,this is not required,logical suggestion,20
3504,we merge this in next release,logistics suggestion,29
3506,please update .,completeness suggestion,15
3507,alignment,refactoring suggestion,9
3508,query please ?,completeness suggestion,14
3509, e a b fe a c ad c why these changes ?,questioning,38
3510,please clean up,refactoring suggestion,15
3511,please check that the column size is sufficient to handle this entry .,buggycode suggestion,70
3512,indent using tabs,refactoring suggestion,17
3514,why do you need the next column ?,questioning,33
3516,amount can be in decimal also please use parsefloat and user fractionlimit to show the same .,refactoring suggestion,93
3517,you should set it to none actually . null is mainly for backward compatibility,buggycode suggestion,78
3518,please get it verified and update pr will merge once verified .,completeness suggestion,63
3520,use tabs for indentaion,refactoring suggestion,23
3521,add data in edit logs .,code suggestion,23
3522,remove uialiasconstants .leave ,refactoring suggestion,31
3524,please do it like ! !onchange onchange function with all parameters . ,code suggestion,70
3525,remove sign and put single sign or use is ,refactoring suggestion,42
3527,collections .emptylist ,code suggestion,23
3528,add foreign key here .,buggycode suggestion,22
3529, d e ca d a c d bda please don t keep hardcoded string keep in in strings .js file,buggycode suggestion,82
3530,classnames don t apply here ?,questioning,29
3531,extra tabs used for indentations .,refactoring suggestion,34
3532,these if conditions can be combined and put them in one right ? please do the necessary changes .,code suggestion,97
3533,shouldn t it be zoneids ?,code suggestion,25
3534,update version,logistics suggestion,14
3535,space before and after ,refactoring suggestion,23
3537,column added and being checked arent same ,buggycode suggestion,42
3539,getsettingfromname duplicate please move this variable above and take it once .,buggycode suggestion,79
3540,remove spaces .,refactoring suggestion,15
3541,space after space after and before ,refactoring suggestion,35
3543,set target to development,logistics suggestion,25
3544,is this verified code ?,questioning,23
3545,please update title of pr to bug title .,logistics suggestion,40
3548, abb ac dcb a ac f please update .,completeness suggestion,34
3549,correct indentation .,refactoring suggestion,21
3550,are we sure that the vendor will return at least response ?,questioning,59
3551,please get it verified and update pr for merge .,completeness suggestion,48
3552,why beatname and not beatid ?,questioning,29
3555,please grant access to the main ticket . or post the description here . post that i can review,logistics suggestion,94
3556,it has been verified ,logistics suggestion,21
3557,remove commented line,refactoring suggestion,21
3558,how come user have reached to menu default is should to generic form ?,logical suggestion,70
3559,is this used for create and update ? if not please add create ,code suggestion,62
3560,change it to ceil ,spelling suggestion,18
3561,can we use isset instead of array key exists here ?,buggycode suggestion,51
3562,use the db not session .,buggycode suggestion,24
3563,please update .,completeness suggestion,15
3564,please resolve conflict .,logistics suggestion,25
